ID,Species,DBH in.,Condition,Total Benefits for this year ($),Storm Water runoff avoided ($),Runoff avoided (gal),Rainfall intercepted (gal),Ozone (oz),Sulfur dioxide (oz),Particulate matter <2.5 microns (oz),Lifetime CO2 equivalent of carbon (lbs),long,lat
1,White Oak,58.44,Healthy,17.94,5.31,594.47,6392.42,3.57,0.64,0.1,60187.28,40.375858,-82.393387
2,White Oak,58.44,Healthy,17.94,5.31,594.47,6392.42,3.57,0.64,0.1,60187.28,40.376321,-82.395587
3,White Oak,51.57,Healthy,17.94,5.31,594.47,6392.42,3.57,0.64,0.1,60187.28,40.373312,-82.393281
4,Boxwood,2.88,Healthy,0.51,0.11,12.41,133.48,2.12,0.29,0.1,49.75,40.375474,-82.393955
5,Boxwood,2.88,Healthy,0.51,0.11,12.41,133.48,2.12,0.29,0.1,49.75,40.374451,-82.395442
6,Boxwood,2.88,Healthy,0.51,0.11,12.41,133.48,2.12,0.29,0.1,49.75,40.377464,-82.397587
7,Boxwood,2.88,Healthy,0.51,0.11,12.41,133.48,2.12,0.29,0.1,49.75,40.378126,-82.39904
8,Boxwood,2.88,Healthy,0.51,0.11,12.41,133.48,2.12,0.29,0.1,49.75,40.375453,-82.394003
9,Boxwood,2.88,Healthy,0.51,0.11,12.41,133.48,2.12,0.29,0.1,49.75,40.378718,-82.396864
10,Boxwood,2.88,Healthy,0.51,0.11,12.41,133.48,2.12,0.29,0.1,49.75,40.37395,-82.391888
11,Boxwood,2.88,Healthy,0.51,0.11,12.41,133.48,2.12,0.29,0.1,49.75,40.379376,-82.396493
12,Blue Spruce,6.11,Healthy,0.7,0.12,13.36,143.65,2.72,0.37,0.14,267.08,40.3825,-82.396242
13,Elm,27.12,Healthy,2.28,2.19,244.76,2631.97,14.18,2.01,0.48,9212.17,40.377662,-82.391714
14,Maple,35.88,Healthy,2.33,2.25,251.24,2701.64,12.66,1.83,0.36,21131.16,40.377066,-82.394684
15,Dogwood,3,Healthy,0.6,0.18,19.83,213.24,1.29,0.18,0.1,52.13,40.382257,-82.395546
16,Dogwood,3,Healthy,0.6,0.18,19.83,213.24,1.29,0.18,0.1,52.13,40.379206,-82.400414
17,Dogwood,3,Healthy,0.6,0.18,19.83,213.24,1.29,0.18,0.1,52.13,40.373306,-82.400229
18,Redbud,9,Healthy,0.52,0.49,54.32,584.12,4.16,0.57,0.2,1115.33,40.370199,-82.395201
19,Redbud,9,Healthy,0.52,0.49,54.32,584.12,4.16,0.57,0.2,1115.33,40.370706,-82.399351
20,Redbud,9,Healthy,0.52,0.49,54.32,584.12,4.16,0.57,0.2,1115.33,40.369831,-82.39428
21,Magnolia,15,Healthy,4.13,0.68,75.88,816,18.55,2.48,1.13,2191.06,40.371022,-82.400353
22,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.372859,-82.397336
23,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.370797,-82.400163
24,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.378183,-82.396452
25,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.373063,-82.399097
26,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.377483,-82.396471
27,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.375075,-82.400882
28,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.381749,-82.393156
29,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.379576,-82.392411
30,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.380212,-82.397128
31,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.379409,-82.400726
32,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.380238,-82.395683
33,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.374883,-82.392817
34,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.380899,-82.392645
35,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.373493,-82.393332
36,River Birch,9.6,Healthy,4.07,0.46,51.47,553.5,4.57,0.62,0.26,1046.58,40.375749,-82.399099
37,Pin Oak,24.02,Healthy,14.61,1.84,205.93,2214.36,11.36,1.62,0.36,9938.9,40.37029,-82.391837
38,Red Oak,24.84,Healthy,6.1,1.89,211.63,2275.71,12.59,1.78,0.44,9962.13,40.377896,-82.395311
